Detected 2 OpenCL Platforms.
Detected 1 Devices In Platform.
Detected 1 Devices In Platform.
Selected device NVIDIA GeForce RTX 2070 in platform NVIDIA CUDA.
Maximum GPU memory allocation is 1993.328125 MiB.
Global GPU memory is 7973.312500 MiB.
There are 69132954 perfect powers < 2^104
0x00000000000000000000000010 + 0x00000000000000000000000010 = 0x00000000000000000000000020
0x00000000000000000000000020 + 0x00000000000000000000000020 = 0x00000000000000000000000040
0x00000000000000000000000040 + 0x00000000000000000000000040 = 0x00000000000000000000000080
0x00000000000000000000000080 + 0x00000000000000000000000080 = 0x00000000000000000000000100
0x00000000000000000000000100 + 0x00000000000000000000000100 = 0x00000000000000000000000200
0x00000000000000000000000200 + 0x00000000000000000000000200 = 0x00000000000000000000000400
0x00000000000000000000000400 + 0x00000000000000000000000400 = 0x00000000000000000000000800
0x00000000000000000000000800 + 0x00000000000000000000000800 = 0x00000000000000000000001000
0x00000000000000000000001000 + 0x00000000000000000000001000 = 0x00000000000000000000002000
0x00000000000000000000002000 + 0x00000000000000000000002000 = 0x00000000000000000000004000
0x00000000000000000000004000 + 0x00000000000000000000004000 = 0x00000000000000000000008000
0x00000000000000000000008000 + 0x00000000000000000000008000 = 0x00000000000000000000010000
0x0000000000000000000000c5c1 + 0x000000000000000000000b964f = 0x000000000000000000000c5c10
0x00000000000000000000010000 + 0x00000000000000000000010000 = 0x00000000000000000000020000
0x00000000000000000000014641 + 0x00000000000000000000146410 = 0x0000000000000000000015aa51
0x00000000000000000000020000 + 0x00000000000000000000020000 = 0x00000000000000000000040000
0x00000000000000000000040000 + 0x00000000000000000000040000 = 0x00000000000000000000080000
0x00000000000000000000080000 + 0x00000000000000000000080000 = 0x00000000000000000000100000
0x00000000000000000000100000 + 0x00000000000000000000100000 = 0x00000000000000000000200000
0x00000000000000000000200000 + 0x00000000000000000000200000 = 0x00000000000000000000400000
0x00000000000000000000400000 + 0x00000000000000000000400000 = 0x00000000000000000000800000
0x00000000000000000000673a91 + 0x00000000000000000002b54a20 = 0x000000000000000000031c84b1
0x00000000000000000000800000 + 0x00000000000000000000800000 = 0x00000000000000000001000000
0x00000000000000000001000000 + 0x00000000000000000001000000 = 0x00000000000000000002000000
0x00000000000000000001b4d89f + 0x00000000000000000034e63b41 = 0x000000000000000000369b13e0
0x00000000000000000001e2cc31 + 0x000000000000000011ae3a4b60 = 0x000000000000000011b01d1791
0x00000000000000000002000000 + 0x00000000000000000002000000 = 0x00000000000000000004000000
0x000000000000000000025528a1 + 0x0000000000000000004aa51420 = 0x0000000000000000004cfa3cc1
0x00000000000000000002710000 + 0x000000000000000000c3500000 = 0x000000000000000000c5c10000
0x00000000000000000002b1e210 + 0x000000000000000000da488710 = 0x000000000000000000dcfa6920
0x00000000000000000004000000 + 0x00000000000000000004000000 = 0x00000000000000000008000000
0x00000000000000000008000000 + 0x00000000000000000008000000 = 0x00000000000000000010000000
0x00000000000000000010000000 + 0x00000000000000000010000000 = 0x00000000000000000020000000
0x00000000000000000011061010 + 0x0000000000000000004528a141 = 0x000000000000000000562eb151
0x00000000000000000020000000 + 0x00000000000000000020000000 = 0x00000000000000000040000000
0x00000000000000000040000000 + 0x00000000000000000040000000 = 0x00000000000000000080000000
0x000000000000000000546d9810 + 0x000000000000000001ab6ad1d1 = 0x000000000000000001ffd869e1
0x00000000000000000069448e91 + 0x000000000000000a897cc543a0 = 0x000000000000000a89e609d231
0x00000000000000000080000000 + 0x00000000000000000080000000 = 0x00000000000000000100000000
0x00000000000000000098c29b81 + 0x000000000000000008f3671c8f = 0x0000000000000000098c29b810
0x000000000000000000fc05fc01 + 0x0000000000000000fb09f604ff = 0x0000000000000000fc05fc0100
0x00000000000000000100000000 + 0x00000000000000000100000000 = 0x00000000000000000200000000
0x00000000000000000104060401 + 0x00000000000000010406040100 = 0x0000000000000001050a0a0501
